Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India
Hilsa Ilisha (Tenualosa),NA,3793,1595,16072,196,654,22310,3240,NA,NA,1148,NA,NA,913,5301,27611
Flat Fish,2165,1840,2308,NA,10,NA,6323,8121,4565,NA,7110,1950,NA,116,21862,28185
Bregmaceros,2541,NA,40,NA,NA,488,3069,0,NA,NA,424,NA,NA,NA,424,3493
Harpodon Neherus,15,1168,38,32107,NA,140,33468,114370,NA,NA,70362,NA,NA,540,185272,218740
Sea Catfishes,2144,10874,2666,30171,285,337,46477,37821,597,NA,13848,1821,NA,1296,55383,101860
Lizard Fishes,7184,NA,1127,NA,7,751,9069,NA,4964,NA,2698,NA,NA,NA,7662,16731
Muraenesox spp.. (Eels),1391,2212,555,98,NA,59,4315,7591,21,169,3358,NA,NA,195,11334,15649
Lactarius (Parava),4198,NA,941,NA,56,423,5618,NA,2963,3576,2770,NA,NA,NA,9309,14927
Leiognathus (Silver Bellies),2328,1868,39200,3650,2450,1486,50982,0,4781,5426,3584,1664,NA,149,15604,66586
Sciaenidae (Croackers),2961,12792,10666,7239,834,380,34872,135947,2377,9636,21720,1938,NA,5745,177363,212235
Upeneus spp.. (Goat Fish),7437,NA,NA,429,6,NA,7872,0,NA,NA,13760,NA,56,NA,13816,21688
Lates Sp. Lutjanus (Perches),4588,2343,19980,4480,4808,2272,38471,23666,NA,32272,699,950,217,1373,59177,97648
Hemirhamphus spp.. (Half Beaks),6588,NA,4401,305,202,318,11814,0,NA,701,938,4822,NA,49,6510,18324
Exocoetus (Flying Fish),419,NA,1942,NA,19,320,2700,0,NA,NA,NA,NA,140,NA,140,2840
Sphyraena spp. (Barracudas),2248,NA,2677,NA,634,483,6042,0,NA,1598,NA,NA,20,45,1663,7705
Mugilidae (Mullets),791,6616,971,5914,865,1358,16515,6120,215,44,598,102,NA,259,7338,23853
Polynemidae (Indian Salmon),9621,1600,2259,2205,21,580,16286,1268,26,70,1331,25,NA,598,3318,19604
Caranax spp.. (Kala Bangada),5115,NA,14564,3768,1095,1026,25568,0,NA,27583,6589,401,236,775,35584,61152
Trachinotus spp..,1900,NA,NA,NA,NA,NA,1900,0,NA,NA,NA,NA,NA,31,31,1931
Carangidae (Bangada),873,3379,3075,NA,2052,956,10335,20168,1176,22257,NA,NA,NA,211,43812,54147
Stromatidae (Butter Fish),5521,8364,NA,8694,NA,849,23428,0,1572,9558,10938,665,NA,178,22911,46339
Sardinella Indian Oil Sardine,4391,5561,NA,8505,NA,3348,21805,0,45637,155993,27215,28173,NA,98,257116,278921
Engraulidae (Anchovies),6442,3925,3288,539,2981,690,17865,10426,2366,33118,23742,3,NA,951,70606,88471
Other Clupeids,5824,4344,3736,5055,834,494,20287,14684,2425,16140,2109,2023,NA,1255,38636,58923
Chirocentrus spp.,2892,2773,7268,NA,14,137,13084,9297,NA,263,2865,251,NA,313,12989,26073
Wahoo,1340,NA,NA,NA,NA,NA,1340,0,NA,NA,NA,559,NA,NA,559,1899
Spanish Mackerels,2012,1811,15454,NA,NA,NA,19277,0,NA,NA,NA,NA,NA,335,335,19612
King Mackerel (Indo-Pacific),2042,425,NA,NA,NA,NA,2467,0,NA,45538,NA,NA,NA,NA,45538,48005
Struooed Seerfish (Thazard Cirrus),2423,21,NA,NA,NA,NA,2444,0,NA,NA,9841,NA,NA,NA,9841,12285
Seer Fish Scomberomorus spp.,4915,NA,9143,659,1204,1911,17832,14460,3511,2551,NA,4407,95,696,25720,43552
Auxis Thazard Firgate & Bullet Tuna,9832,NA,NA,NA,NA,100,9932,NA,1157,NA,5336,NA,1331,127,7951,17883
Euthynnus Affinis (Kawa Kawa),1835,705,4806,NA,94,500,7940,NA,NA,NA,NA,226,532,474,1232,9172
Katsuwonus Pelamis (Skipjack Tuna),315,NA,NA,NA,124,300,739,NA,NA,NA,NA,1916,4871,156,6943,7682
Thunnus Tonggol (Long Tail Tuna),759,NA,NA,NA,64,NA,823,NA,NA,12258,NA,NA,2140,79,14477,15300
Istiophoridae (Marlin Sailfish),355,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,NA,21,21,376
Scombridae (Tuna Like Fishes),365,NA,NA,NA,2359,NA,2724,NA,NA,NA,NA,NA,NA,113,113,2837
Trichiuridae (Hair Tails),777,9071,989,8195,NA,651,19683,35869,7616,NA,34186,1368,NA,1882,80921,100604
Rastelliger Ranagueta Indian Macker,3643,5476,NA,7470,NA,2246,18835,0,4541,NA,29530,19930,NA,414,54415,73250
"Elasmobranches (Shark, Rays, Skates)",8338,6972,21155,123,2956,1158,40702,26194,2811,3203,10217,1228,75,874,44602,85304
Other Marine Fishes,14827,23706,NA,14773,2495,4227,60028,73096,25290,129699,56040,1674,1687,2716,290202,350230
Decapods - (a) Penaeid Prawn,17478,12672,22027,11001,586,1674,65438,12686,12742,49165,47836,8642,NA,50,131121,196559
Decapods - (b) Non-Penaeid Prawn,24987,1801,4881,5527,18,398,37612,42567,NA,1689,57017,NA,NA,141,101414,139026
Decapods - (c) Other Crust Crab,11746,NA,1578,NA,NA,NA,13324,2615,1960,431,664,NA,NA,13,5683,19007
Natanian Decapods,5439,NA,NA,NA,NA,NA,5439,NA,NA,NA,NA,NA,NA,28,28,5467
Marine Crust Crab,326,NA,NA,894,571,NA,1791,0,NA,4539,2035,819,NA,66,7459,9250
Cephalopods - (a) Squid & Cuttle Fish,38,1535,9581,NA,12,480,11646,20526,14775,14912,17512,330,NA,381,68436,80082
Cephalopods - (b) Other Molluscs,3623,568,NA,NA,NA,NA,4191,2209,620,NA,NA,NA,NA,NA,2829,7020
Thunnus albacares (Yellowfin tuna),2065,27,NA,225,72,1352,3741,14830,NA,NA,NA,NA,NA,158,14988,18729
Thunnus obesus (Bigeye tuna),1724,NA,NA,NA,64,NA,1788,NA,NA,NA,NA,NA,NA,135,135,1923
Istiophorus platypterus (Indo-Pacific sailfish),332,NA,NA,NA,NA,NA,332,NA,NA,NA,NA,NA,NA,NA,0,332
Xiphias gladius (Swordfish),0,NA,NA,NA,17,NA,17,NA,NA,NA,NA,NA,NA,NA,0,17
Panaeus monodon (Giant tiger prawn),1940,NA,NA,NA,NA,NA,1940,NA,NA,NA,NA,NA,NA,79,79,2019
Panaeus spp (Panaeus shrimps nei),2317,NA,NA,NA,NA,NA,2317,NA,NA,NA,NA,NA,NA,NA,0,2317
Euphausia superba (Antarctic Krill),13538,NA,NA,NA,NA,NA,13538,NA,NA,NA,NA,NA,NA,NA,0,13538
Crustacea (Marine crustaceans),0,NA,NA,NA,NA,671,671,NA,10456,NA,NA,NA,NA,NA,10456,11127
Rana spp (Frogs),18947,NA,NA,NA,NA,NA,18947,NA,NA,NA,NA,NA,NA,NA,0,18947
Ascidiacea (Sea squirts),0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0
Unspecified,0,NA,189759,NA,NA,55,189814,NA,9380,NA,1018,5298,NA,448,16144,205958
Deep Sea Fishing Sector @,3350,NA,NA,NA,NA,NA,3350,NA,NA,NA,NA,NA,NA,NA,0,3350
Misc.,191,NA,NA,NA,NA,NA,191,66263,NA,NA,NA,NA,NA,NA,66263,66454
Total,251396,138242,402670,178098,28005,33272,1031683,704034,168544,582389,489038,91185,11400,24476,2071066,3102749
